Date,Time,CO2(mmHg),CRC,
2023-08-24,15:58:57.29,1,3481,
2023-08-24,15:58:57.53,1,742,
2023-08-24,15:58:57.78,1,22650,
2023-08-24,15:58:58.02,1,56812,
2023-08-24,15:58:58.32,1,13118,
2023-08-24,15:58:58.48,1,15425,
2023-08-24,15:58:58.73,1,52364,
2023-08-24,15:58:59.02,1,25997,
2023-08-24,15:58:59.29,1,16145,
2023-08-24,15:58:59.51,1,56582,
2023-08-24,15:58:59.78,1,27378,
2023-08-24,15:59:00.00,1,34002,
2023-08-24,15:59:00.35,1,54853,
2023-08-24,15:59:00.49,1,65187,
2023-08-24,15:59:00.74,1,10743,
2023-08-24,15:59:00.98,1,43373,
2023-08-24,15:59:01.27,1,10525,
2023-08-24,15:59:01.51,1,26960,
2023-08-24,15:59:01.76,1,31998,
2023-08-24,15:59:02.00,1,58417,
2023-08-24,15:59:02.33,1,37183,
2023-08-24,15:59:02.51,1,45522,
2023-08-24,15:59:02.73,1,6201,
2023-08-24,15:59:02.99,1,48954,
2023-08-24,15:59:03.23,1,33551,
2023-08-24,15:59:03.52,1,37487,
2023-08-24,15:59:03.77,1,27305,
2023-08-24,15:59:04.03,1,57032,
2023-08-24,15:59:04.36,1,35935,
2023-08-24,15:59:04.52,1,35627,
2023-08-24,15:59:04.76,1,1369,
2023-08-24,15:59:04.98,1,26795,
2023-08-24,15:59:05.22,1,21662,
2023-08-24,15:59:05.48,1,61872,
2023-08-24,15:59:05.77,1,52108,
2023-08-24,15:59:06.02,1,51359,
2023-08-24,15:59:06.36,1,60604,
2023-08-24,15:59:06.52,1,60360,
2023-08-24,15:59:06.77,1,4878,
2023-08-24,15:59:07.01,1,60194,
2023-08-24,15:59:07.24,1,5092,
2023-08-24,15:59:07.47,1,17853,
2023-08-24,15:59:07.73,1,24990,
2023-08-24,15:59:08.02,1,64023,
2023-08-24,15:59:08.33,1,25201,
2023-08-24,15:59:08.51,1,17052,
2023-08-24,15:59:08.75,1,52462,
2023-08-24,15:59:09.01,1,55722,
2023-08-24,15:59:09.25,1,22488,
2023-08-24,15:59:09.47,1,30517,
2023-08-24,15:59:09.72,1,9634,
2023-08-24,15:59:09.99,1,62485,
2023-08-24,15:59:10.33,1,46607,
2023-08-24,15:59:10.51,1,38626,
2023-08-24,15:59:10.78,1,8470,
2023-08-24,15:59:11.03,1,57532,
2023-08-24,15:59:11.27,1,28366,
2023-08-24,15:59:11.51,1,11907,
2023-08-24,15:59:11.73,1,34664,
2023-08-24,15:59:11.97,1,33329,
2023-08-24,15:59:12.30,1,19760,
2023-08-24,15:59:12.52,1,28125,
2023-08-24,15:59:12.77,1,38171,
2023-08-24,15:59:13.02,1,63211,
2023-08-24,15:59:13.26,1,30873,
2023-08-24,15:59:13.53,1,41736,
2023-08-24,15:59:13.76,1,23502,
2023-08-24,15:59:13.98,1,13884,
2023-08-24,15:59:14.31,1,39585,
2023-08-24,15:59:14.47,1,56044,
2023-08-24,15:59:14.78,1,57552,
2023-08-24,15:59:15.00,1,47782,
2023-08-24,15:59:15.27,1,44808,
2023-08-24,15:59:15.51,1,61253,
2023-08-24,15:59:15.76,1,64235,
2023-08-24,15:59:16.00,1,25124,
2023-08-24,15:59:16.31,1,64066,
2023-08-24,15:59:16.47,1,47631,
2023-08-24,15:59:16.71,1,29508,
2023-08-24,15:59:17.01,1,44273,
2023-08-24,15:59:17.25,1,8835,
2023-08-24,15:59:17.50,1,63762,
2023-08-24,15:59:17.76,1,39432,
2023-08-24,15:59:18.00,1,20652,
2023-08-24,15:59:18.34,1,29839,
2023-08-24,15:59:18.48,1,23657,
2023-08-24,15:59:18.72,1,55824,
2023-08-24,15:59:18.98,1,32019,
2023-08-24,15:59:19.27,1,64867,
2023-08-24,15:59:19.51,1,48430,
2023-08-24,15:59:19.76,1,43136,
2023-08-24,15:59:20.02,1,58908,
2023-08-24,15:59:20.35,1,23011,
2023-08-24,15:59:20.51,1,24215,
2023-08-24,15:59:20.73,1,63356,
2023-08-24,15:59:20.98,1,9931,
2023-08-24,15:59:21.23,1,27722,
2023-08-24,15:59:21.51,1,59126,
2023-08-24,15:59:21.76,1,62296,
2023-08-24,15:59:22.01,1,7459,
2023-08-24,15:59:22.36,1,41692,
2023-08-24,15:59:22.49,1,4582,
2023-08-24,15:59:22.77,1,23918,
2023-08-24,15:59:22.97,1,37574,
2023-08-24,15:59:23.21,1,57793,
2023-08-24,15:59:23.47,1,3037,
2023-08-24,15:59:23.75,1,2151,
2023-08-24,15:59:24.02,1,10202,
2023-08-24,15:59:24.33,1,49084,
2023-08-24,15:59:24.49,1,45251,
2023-08-24,15:59:24.75,1,4387,
2023-08-24,15:59:24.99,1,37305,
2023-08-24,15:59:25.23,1,44428,
2023-08-24,15:59:25.47,1,43768,
2023-08-24,15:59:25.71,1,25523,
2023-08-24,15:59:25.99,1,10712,
2023-08-24,15:59:26.34,1,36466,
2023-08-24,15:59:26.50,1,35078,
2023-08-24,15:59:26.77,1,40104,
2023-08-24,15:59:27.02,1,65368,
2023-08-24,15:59:27.26,1,28970,
2023-08-24,15:59:27.46,1,48303,
2023-08-24,15:59:27.72,1,39052,
2023-08-24,15:59:27.96,1,40405,
2023-08-24,15:59:28.35,1,51790,
2023-08-24,15:59:28.51,1,52538,
2023-08-24,15:59:28.76,1,55444,
2023-08-24,15:59:29.01,1,22028,
2023-08-24,15:59:29.25,1,55422,
2023-08-24,15:59:29.52,1,61063,
2023-08-24,15:59:29.72,1,43524,
2023-08-24,15:59:29.96,1,44893,
2023-08-24,15:59:30.29,1,64339,
2023-08-24,15:59:30.51,1,6468,
2023-08-24,15:59:30.76,1,3306,
2023-08-24,15:59:30.98,1,24856,
2023-08-24,15:59:31.26,1,38876,
2023-08-24,15:59:31.50,1,55185,
2023-08-24,15:59:31.77,1,49727,
2023-08-24,15:59:31.97,1,3479,
2023-08-24,15:59:32.30,1,49814,
2023-08-24,15:59:32.46,1,33499,
2023-08-24,15:59:32.74,1,33121,
2023-08-24,15:59:32.98,1,507,
2023-08-24,15:59:33.24,1,6743,
2023-08-24,15:59:33.50,1,46962,
2023-08-24,15:59:33.75,1,20404,
